Year Local,Month Local,Day Local,Cloud Ceiling (m) / Mean,Cloud Cover Fraction / Fraction Nan,Cloud Cover Fraction / Fraction Clr,Cloud Cover Fraction / Fraction Few,Cloud Cover Fraction / Fraction Sct,Cloud Cover Fraction / Fraction Bkn,Cloud Cover Fraction / Fraction Ovc,Cloud Cover Fraction / Median,Dew Point C / High,Dew Point C / Low,Humidity Fraction / High,Humidity Fraction / Low,Humidity Fraction / Mean,Precipitation One Hour (mm) / Mean,Precipitation One Hour (mm) / Sum,Weather Codes / Precipitation Count,Weather Codes / Drizzle Count,Weather Codes / Rain Slight Count,Weather Codes / Rain Moderate Count,Weather Codes / Rain Heavy Count,Weather Codes / Snow Slight Count,Weather Codes / Snow Moderate Count,Weather Codes / Snow Heavy Count,Weather Codes / Thunderstorm Count,Weather Code Most Severe / Icon Code,Pressure Altimeter (mbar) / Mean,Snow Depth (cm) / Mean,Temperature C / High,Temperature C / Low,Visibility (km) / Mean,Wind Direction (degrees) / Angular Mean,Wind Gust (m/s) / Max,Wind Speed (m/s) / High,Wind Speed (m/s) / Low,Wind Speed (m/s) / Mean
1993.0,1.0,23.0,7250,0,0.33,0.08,0.33,0.13,0.13,0.5,6.1,-5.6,0.851,0.284,0.61,0,0,0,0,0,0,0,0,0,0,0,0,1025.6,,12.2,5.6,45,142.5,,5.7,0,3.1
1993.0,1.0,24.0,7387.5,0,0.13,0.17,0.38,0,0.33,0.68,6.7,2.2,0.888,0.509,0.714,0,0,0,0,0,0,0,0,0,0,0,0,1024.5,,13.9,5.6,43,131.4,,4.6,1.5,2.8
1993.0,1.0,25.0,,0,0.92,0.08,0,0,0,0.05,7.8,4.4,0.927,0.477,0.748,0,0,0,0,0,0,0,0,0,0,0,0,1022.2,,16.1,5.6,19.5,131.1,,7.2,0,2.3
1993.0,1.0,26.0,,0,0.58,0.42,0,0,0,0.1,6.7,2.8,0.893,0.397,0.701,0,0,0,0,0,0,0,0,0,0,0,0,1018.2,,17.8,4.4,17.3,130.1,,3.6,0,1.9
1993.0,1.0,27.0,6000,0,0.33,0.42,0.13,0.08,0.04,0.25,8.9,5,0.966,0.616,0.829,0,0,0,0,0,0,0,0,0,0,0,0,1017,,13.3,5.6,11.1,27.9,,4.1,0,2.9
1993.0,1.0,28.0,1254.4,0,0.04,0.58,0.17,0.04,0.17,0.32,8.3,5.6,0.966,0.616,0.83,0,0,0,0,0,0,0,0,0,0,0,0,1020.8,,13.9,6.7,8.4,75.9,,3.6,0,1.9
1993.0,1.0,29.0,6000,0,0.54,0.25,0.13,0.04,0.04,0.05,8.9,1.1,1,0.352,0.694,0,0,0,0,0,0,0,0,0,0,0,0,1021.3,,17.8,5.6,18.1,358,14.4,10.3,0,3.8
1993.0,1.0,30.0,,0,1,0,0,0,0,0,5,-1.1,0.734,0.308,0.467,0,0,0,0,0,0,0,0,0,0,0,0,1018.5,,17.2,8.9,47,68.9,12.8,10.3,0,5.3
1993.0,1.0,31.0,,0,0.71,0,0.29,0,0,0,7.8,2.2,0.851,0.377,0.696,0,0,0,0,0,0,0,0,0,0,0,0,1021.5,,16.7,5.6,34,275.1,,5.2,1.5,3.1
1993.0,2.0,1.0,6000,0,0.38,0.21,0.33,0.04,0.04,0.32,8.3,2.8,0.858,0.44,0.709,0,0,0,0,0,0,0,0,0,0,0,0,1024.6,,16.7,5.6,17.1,30.6,,4.6,0,2.4
1993.0,2.0,2.0,4500,0,0.33,0.13,0.29,0.17,0.08,0.55,8.9,3.3,0.927,0.454,0.746,0,0,0,0,0,0,0,0,0,0,0,0,1020.1,,15,7.2,9.7,85,,4.1,0,2.4
1993.0,2.0,3.0,4710,0,0,0.08,0.46,0.08,0.38,0.75,10,6.1,0.893,0.617,0.792,0.01,0.3,2,0,1,1,0,0,0,0,0,0,1016.9,,13.9,9.4,8.3,171.2,,4.1,0,2.1
1993.0,2.0,4.0,3000,0,0,0.17,0.75,0.04,0.04,0.6,8.9,5.6,0.897,0.464,0.708,0,0,0,0,0,0,0,0,0,0,0,0,1013.4,,17.2,9.4,10.5,154.9,12.8,10.3,0,3.4
1993.0,2.0,5.0,1620,0,0,0.46,0.5,0.04,0,0.5,11.7,3.9,0.93,0.412,0.771,0.09,2.1,6,1,5,0,0,0,0,0,0,2,1016.8,,18.3,11.7,28.6,143.1,13.3,9.8,1.5,4
1993.0,2.0,6.0,4200,0,0,0.33,0.33,0.29,0.04,0.75,10.6,8.3,0.967,0.642,0.838,0,0,0,0,0,0,0,0,0,0,0,0,1016.6,,16.1,10,16.3,102.6,,3.1,0,1.9
1993.0,2.0,7.0,1945,0,0,0.25,0.54,0.21,0,0.55,12.8,9.4,0.931,0.805,0.901,0.51,12.2,11,0,10,1,0,0,0,0,0,2,1004.1,,13.9,10.6,14.5,127.5,7.7,6.2,0,2.5
1993.0,2.0,8.0,1837.5,0,0,0.42,0.54,0.04,0,0.5,12.8,9.4,1,0.832,0.915,0.18,4.3,8,2,6,0,0,0,0,0,0,2,998.9,,13.9,11.1,17.9,251,,7.2,0,4.2
1993.0,2.0,9.0,3900,0,0.13,0.25,0.54,0.08,0,0.5,10,7.8,0.929,0.743,0.856,0.06,1.4,4,0,4,0,0,0,0,0,0,0,1012.6,,14.4,8.9,21.8,199.6,,7.2,2.1,4.1
1993.0,2.0,10.0,1032,0,0,0.38,0.54,0,0.08,0.5,9.4,5.6,0.966,0.593,0.801,0.13,3.1,2,0,2,0,0,0,0,0,0,0,1021.7,,13.9,7.2,27.8,164.2,,7.2,0,3.5
1993.0,2.0,11.0,2316,0,0,0.38,0.54,0.08,0,0.5,10.6,6.1,0.893,0.574,0.755,0,0,3,0,2,1,0,0,0,0,0,0,1021.9,,15,10.6,32,268.4,9.7,7.2,0,4
1993.0,2.0,12.0,,0,0.42,0.54,0.04,0,0,0.25,8.3,4.4,0.927,0.566,0.795,0,0,0,0,0,0,0,0,0,0,0,0,1023,,13.9,6.7,27.1,304,,7.7,1.5,3.6
1993.0,2.0,13.0,5000,0,0.38,0.13,0.38,0.13,0,0.45,8.3,4.4,0.928,0.512,0.768,0,0,0,0,0,0,0,0,0,0,0,0,1020.4,,15,6.1,33,312.5,,7.2,0,3.4
1993.0,2.0,14.0,,0,0.96,0.04,0,0,0,0,8.3,-1.1,0.966,0.344,0.731,0,0,0,0,0,0,0,0,0,0,0,0,1014.6,,16.1,6.1,41.7,277,,7.2,0,3.2
1993.0,2.0,15.0,966.7,0,0.08,0.33,0.38,0,0.21,0.55,7.8,2.2,0.927,0.561,0.724,0,0,0,0,0,0,0,0,0,0,0,0,1013.1,,14.4,7.8,28.8,249.7,13.3,12.4,0,6.2
1993.0,2.0,16.0,1207.5,0,0,0.13,0.79,0,0.08,0.6,7.8,0.6,0.928,0.52,0.678,0.13,3.1,6,1,5,0,0,0,0,0,0,2,1014.8,,12.2,8.9,18.7,227.8,,6.2,2.1,4
1993.0,2.0,17.0,667.5,0,0,0.25,0.63,0.13,0,0.6,12.2,7.8,0.961,0.776,0.886,0.54,13,14,1,11,2,0,0,0,0,0,2,1013.4,,15.6,9.4,15,143.8,,11.3,1.5,5.6
1993.0,2.0,18.0,4275,0,0,0.08,0.88,0.04,0,0.6,13.3,10,0.968,0.748,0.892,0.59,14.2,12,3,8,1,0,0,0,0,0,2,1003,,16.7,11.7,21.3,124.2,,9.8,0,5.4
1993.0,2.0,19.0,1245,0,0,0.46,0.46,0.04,0.04,0.5,11.7,0.6,0.9,0.541,0.74,1.2,28.7,10,0,7,2,0,0,0,0,1,2,999.6,,15,9.4,16.8,196.8,21.6,17.5,2.1,10.6
1993.0,2.0,20.0,1040,0,0.04,0.58,0.33,0.04,0,0.4,6.7,2.8,0.86,0.566,0.732,0.29,6.9,6,0,4,2,0,0,0,0,0,2,1010,,12.8,7.2,23.7,242.2,15.4,11.3,3.1,5.6
1993.0,2.0,21.0,2585,0,0,0.46,0.38,0.17,0,0.5,7.2,5,0.896,0.572,0.77,0.23,5.6,5,1,3,1,0,0,0,0,0,2,1019.3,,13.9,7.2,33.7,198.1,13.8,7.2,1.5,4.2
1993.0,2.0,22.0,940,0,0,0.42,0.46,0.13,0,0.5,10.6,5,0.93,0.795,0.843,0.21,5.1,10,0,8,2,0,0,0,0,0,2,1016.2,,13.3,7.8,21.6,162.7,10.2,8.2,1.5,4.1
1993.0,2.0,23.0,1155,0,0,0.54,0.46,0,0,0.4,9.4,4.4,0.863,0.682,0.786,0.49,11.8,9,0,8,1,0,0,0,0,0,2,1009.7,,12.8,9.4,21.8,240,15.9,12.4,3.1,7.6
1993.0,2.0,24.0,,0,0.04,0.46,0.5,0,0,0.45,3.9,1.1,0.762,0.482,0.619,0,0,3,1,1,1,0,0,0,0,0,0,1015.6,,12.2,7.2,40,276.7,15.4,12.4,2.6,6.5
1993.0,2.0,25.0,2490,0,0,0.25,0.63,0.13,0,0.5,6.7,1.7,0.889,0.523,0.764,0.11,2.6,8,0,7,1,0,0,0,0,0,2,1016.5,,11.1,6.1,24,121.2,,7.7,0,3.6
1993.0,2.0,26.0,1590,0,0,0.08,0.71,0.13,0.08,0.75,6.1,0.6,0.89,0.482,0.668,0.25,6.1,8,0,7,1,0,0,0,0,0,2,1015,,11.7,7.8,29.8,79.9,,10.3,2.1,5.1
1993.0,2.0,27.0,,0,0.67,0.13,0.21,0,0,0,6.7,-1.7,0.832,0.319,0.604,0,0,0,0,0,0,0,0,0,0,0,0,1017.5,,16.1,7.2,44.2,100.2,,6.2,0,3.9
1993.0,2.0,28.0,540,0,0.75,0.04,0.21,0,0,0.1,7.8,5.6,0.96,0.553,0.778,0,0,0,0,0,0,0,0,0,0,0,0,1020.8,,15,6.7,33.2,258.8,,8.8,0,4
1993.0,3.0,1.0,3453.8,0,0.13,0.13,0.5,0.25,0,0.5,7.2,4.4,0.861,0.51,0.698,0,0,0,0,0,0,0,0,0,0,0,0,1026.1,,15,8.9,31.7,239.3,,7.7,1.5,3.5
1993.0,3.0,2.0,7500,0,0.13,0.25,0.33,0.13,0.17,0.5,9.4,5.6,0.927,0.535,0.767,0,0,0,0,0,0,0,0,0,0,0,0,1023.3,,16.7,7.2,23.7,170.2,,6.7,0,2.7
